STATECD,UNITCD,COUNTYCD,PLOT,sdimax_metric_mean,sdimax_metric_median,sdimax_english_mean,sdimax_english_median,PLT_CN,CONDID,FORTYPCD,OWNGRPCD,SITECLCD
9,1,3,316,878.127388659517,875.569382662135,355.36550915611,354.330320964256,944325515290487,1,505,30,5
9,1,3,331,1620.6555300186,1635.56684951331,655.855955558895,661.890351835404,503649780126144,1,103,30,4
9,1,3,353,1643.69975838883,1578.15359836889,665.181622943439,638.656035848073,1285453460290487,1,401,40,4
9,1,3,359,997.255443018104,956.958281636296,403.574917311047,387.267236378953,719393293290487,2,401,40,5
9,1,3,365,1626.87166673289,1609.48296956745,658.3715365748,651.334581229185,503649926126144,1,503,30,4
9,1,3,389,1133.26667642551,1103.32049268293,458.616704909263,446.497915573687,719393261290487,1,503,40,4
9,1,3,417,933.788238335581,879.855008969521,377.890653503778,356.064652217836,503649782126144,1,505,40,5
9,1,3,425,473.762421266394,461.644976685754,191.724829707643,186.82107437706,503649774126144,2,705,30,5
9,1,3,443,952.377632398933,902.102959246355,385.413513593942,365.068077324387,814949760290487,1,503,40,4
9,1,3,518,652.698352892118,672.388310468473,264.137624559159,272.10586685492,14167116020004,1,519,40,5
9,1,3,519,618.344057490929,595.003250198255,250.234935912151,240.789247308431,1285453429290487,1,515,40,5
9,1,3,557,1193.55214991325,1196.06275418278,483.013367918934,484.029373314111,567481549126144,1,503,40,4
9,1,3,563,484.81924931059,523.436279869231,196.199368798806,211.827124980648,503649917126144,1,503,30,6
9,1,3,565,973.271968596009,875.293637323642,393.869150574457,354.2187307965,719393292290487,1,515,30,6
9,1,3,578,1016.55968333751,1013.33680407718,411.38706538725,410.082812560056,503649928126144,1,503,40,4
9,1,3,624,288.895704242328,349.796951410715,116.911931408729,141.557789159816,814949797290487,2,801,40,5
9,1,3,701,604.789928424135,587.059164313582,244.749775058278,237.574390145741,373850933489998,2,505,40,5
9,1,5,10,910.433303127322,901.43584491931,368.439247536062,364.798105762678,944325500290487,1,505,40,4
9,1,5,19,818.70413514858,798.993207354754,331.317774155084,323.341045514283,814949798290487,1,505,30,5
9,1,5,20,1492.73875238134,1481.11032746985,604.089877650694,599.384021538333,567481580126144,1,503,40,5
9,1,5,32,1359.24223285769,1381.9836583164,550.065758549354,559.268885955967,719393274290487,1,708,40,6
9,1,5,34,577.566611522761,565.253700469079,233.732890724055,228.75003292655,245794810489998,2,503,40,3
9,1,5,36,1984.00909803068,1718.74203574237,802.899912242005,695.550151979623,944325493290487,1,503,40,5
9,1,5,51,1087.42649716394,1055.41510847483,440.065844460687,427.111296422202,567481578126144,1,801,30,5
9,1,5,54,960.363203019548,1008.55585572732,388.645159031888,408.148031608524,445525688489998,1,962,40,5
9,1,5,61,704.266054059265,722.807966101025,285.006330646606,292.509975446373,567481582126144,1,503,40,5
9,1,5,82,800.514589858746,777.442634427289,323.956727105741,314.619838978788,719393288290487,1,515,40,5
9,1,5,93,775.306769418129,773.11087490594,313.755485166037,312.866838277835,944325486290487,1,503,40,6
9,1,5,101,582.193536458836,570.852024128272,235.605340617966,231.015593895564,445525699489998,1,505,40,4
9,1,5,104,1753.08636632572,1544.07876511578,709.448808008344,624.866441508139,567481592126144,1,505,40,5
9,1,5,116,960.665822797566,935.29541170995,388.767624898327,378.500584865088,445525703489998,1,503,40,4
9,1,5,117,814.188483031405,802.966093492685,329.490354768654,324.948815324743,814949779290487,1,401,30,5
9,1,5,123,658.170988578684,640.478639232958,266.352321415558,259.192482405173,814949788290487,1,708,40,6
